date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:59	129/129	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Sep%202025%2011:09:59%20GMT	https://www.columbiagasky.com/homepage/our-company	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/NiSource/www.columbiagasky.com/homepage/our-company.f.delayed	(from https://www.columbiagasky.com/)
16:40:03	218127/218127	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Sep%202025%2011:10:02%20GMT	https://www.columbiagasky.com/our-company	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/NiSource/www.columbiagasky.com/our-company.html	(from https://www.columbiagasky.com/)
16:40:03	133/133	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Sep%202025%2011:10:04%20GMT	https://www.columbiagasky.com/homepage/partner-with-us	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/NiSource/www.columbiagasky.com/homepage/partner-with-us.11.delayed	(from https://www.columbiagasky.com/)
16:40:05	216018/216018	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Sep%202025%2011:10:04%20GMT	https://www.columbiagasky.com/partner-with-us	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/NiSource/www.columbiagasky.com/partner-with-us.html	(from https://www.columbiagasky.com/)
16:40:09	298593/298593	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Sep%202025%2011:10:07%20GMT	https://www.columbiagasky.com/bills-and-payments/understanding-your-bill	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/NiSource/www.columbiagasky.com/bills-and-payments/understanding-your-bill.html	(from https://www.columbiagasky.com/)
16:40:10	232124/232124	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Sep%202025%2011:10:09%20GMT	https://www.columbiagasky.com/services/start-stop-or-move-service	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/NiSource/www.columbiagasky.com/services/start-stop-or-move-service.html	(from https://www.columbiagasky.com/)
16:40:12	225223/225223	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Sep%202025%2011:10:11%20GMT	https://www.columbiagasky.com/construction-renovation	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/NiSource/www.columbiagasky.com/construction-renovation.html	(from https://www.columbiagasky.com/)
16:40:14	221775/221775	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Sep%202025%2011:10:12%20GMT	https://www.columbiagasky.com/landlord-services	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/NiSource/www.columbiagasky.com/landlord-services.html	(from https://www.columbiagasky.com/)
16:40:15	224649/224649	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Sep%202025%2011:10:15%20GMT	https://www.columbiagasky.com/business-support	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/NiSource/www.columbiagasky.com/business-support.html	(from https://www.columbiagasky.com/)
16:40:19	217694/217694	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Sep%202025%2011:10:17%20GMT	https://www.columbiagasky.com/terminate-service	C:/Users/WC944DA/OneDrive%20-%20EY/Desktop/staticSite/NiSource/www.columbiagasky.com/terminate-service.html	(from https://www.columbiagasky.com/)
